variant,row_type,boundary,direction,requested_outward_max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,requested_at_max,quantiles_q50_q90_q95_q99,offending_b_index,offending_a_index,offending_z_index,offending_b,offending_a,offending_z,offending_requested_outward_rate,,
V3_AB_MID,offending,upper_b,b_forward,2.292967365e-01,,,,,,,29,28,1,8.684210526e+00,1.473684211e+01,1.300000000e+00,2.292967365e-01,,
V3_AB_MID,offending,upper_b,b_forward,2.779124150e-01,,,,,,,29,29,1,8.684210526e+00,1.526315789e+01,1.300000000e+00,2.779124150e-01,,
V3_AB_MID,summary,lower_a,a_backward,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,,,
V3_AB_MID,summary,upper_a,a_forward,3.374541508e-01,44,7.333333333e-01,"(20, 29, 1)","(5.368421052631579, 15.263157894736842, 1.3)",3.374541508e-01,0.284990348568805/0.3350192198089379/0.3366384870580093/0.337384060835284,,,,,,,,,
V3_AB_MID,offending,upper_a,a_forward,6.111379649e-02,,,,,,,7,29,1,5.789473684e-01,1.526315789e+01,1.300000000e+00,6.111379649e-02,,
V3_AB_MID,offending,upper_a,a_forward,1.060671461e-04,,,,,,,8,29,0,9.473684211e-01,1.526315789e+01,8.000000000e-01,1.060671461e-04,,
V3_AB_MID,offending,upper_a,a_forward,1.171081840e-01,,,,,,,8,29,1,9.473684211e-01,1.526315789e+01,1.300000000e+00,1.171081840e-01,,
V3_AB_MID,offending,upper_a,a_forward,6.734632547e-02,,,,,,,9,29,0,1.315789474e+00,1.526315789e+01,8.000000000e-01,6.734632547e-02,,
V3_AB_MID,offending,upper_a,a_forward,1.613614411e-01,,,,,,,9,29,1,1.315789474e+00,1.526315789e+01,1.300000000e+00,1.613614411e-01,,
V3_AB_MID,offending,upper_a,a_forward,1.210906526e-01,,,,,,,10,29,0,1.684210526e+00,1.526315789e+01,8.000000000e-01,1.210906526e-01,,
V3_AB_MID,offending,upper_a,a_forward,1.973970197e-01,,,,,,,10,29,1,1.684210526e+00,1.526315789e+01,1.300000000e+00,1.973970197e-01,,
V3_AB_MID,offending,upper_a,a_forward,1.647263404e-01,,,,,,,11,29,0,2.052631579e+00,1.526315789e+01,8.000000000e-01,1.647263404e-01,,
V3_AB_MID,offending,upper_a,a_forward,2.271449814e-01,,,,,,,11,29,1,2.052631579e+00,1.526315789e+01,1.300000000e+00,2.271449814e-01,,
V3_AB_MID,offending,upper_a,a_forward,2.005460477e-01,,,,,,,12,29,0,2.421052632e+00,1.526315789e+01,8.000000000e-01,2.005460477e-01,,
V3_AB_MID,offending,upper_a,a_forward,2.518495274e-01,,,,,,,12,29,1,2.421052632e+00,1.526315789e+01,1.300000000e+00,2.518495274e-01,,
V3_AB_MID,offending,upper_a,a_forward,2.301553338e-01,,,,,,,13,29,0,2.789473684e+00,1.526315789e+01,8.000000000e-01,2.301553338e-01,,
V3_AB_MID,offending,upper_a,a_forward,2.723866134e-01,,,,,,,13,29,1,2.789473684e+00,1.526315789e+01,1.300000000e+00,2.723866134e-01,,
V3_AB_MID,offending,upper_a,a_forward,2.547120385e-01,,,,,,,14,29,0,3.157894737e+00,1.526315789e+01,8.000000000e-01,2.547120385e-01,,
V3_AB_MID,offending,upper_a,a_forward,2.894032024e-01,,,,,,,14,29,1,3.157894737e+00,1.526315789e+01,1.300000000e+00,2.894032024e-01,,
V3_AB_MID,offending,upper_a,a_forward,2.750715906e-01,,,,,,,15,29,0,3.526315789e+00,1.526315789e+01,8.000000000e-01,2.750715906e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.033893568e-01,,,,,,,15,29,1,3.526315789e+00,1.526315789e+01,1.300000000e+00,3.033893568e-01,,
V3_AB_MID,offending,upper_a,a_forward,2.918773970e-01,,,,,,,16,29,0,3.894736842e+00,1.526315789e+01,8.000000000e-01,2.918773970e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.147183650e-01,,,,,,,16,29,1,3.894736842e+00,1.526315789e+01,1.300000000e+00,3.147183650e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.056171314e-01,,,,,,,17,29,0,4.263157895e+00,1.526315789e+01,8.000000000e-01,3.056171314e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.236669909e-01,,,,,,,17,29,1,4.263157895e+00,1.526315789e+01,1.300000000e+00,3.236669909e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.166554774e-01,,,,,,,18,29,0,4.631578947e+00,1.526315789e+01,8.000000000e-01,3.166554774e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.304184639e-01,,,,,,,18,29,1,4.631578947e+00,1.526315789e+01,1.300000000e+00,3.304184639e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.252472106e-01,,,,,,,19,29,0,5.000000000e+00,1.526315789e+01,8.000000000e-01,3.252472106e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.350443598e-01,,,,,,,19,29,1,5.000000000e+00,1.526315789e+01,1.300000000e+00,3.350443598e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.315288315e-01,,,,,,,20,29,0,5.368421053e+00,1.526315789e+01,8.000000000e-01,3.315288315e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.374541508e-01,,,,,,,20,29,1,5.368421053e+00,1.526315789e+01,1.300000000e+00,3.374541508e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.354806075e-01,,,,,,,21,29,0,5.736842105e+00,1.526315789e+01,8.000000000e-01,3.354806075e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.372911509e-01,,,,,,,21,29,1,5.736842105e+00,1.526315789e+01,1.300000000e+00,3.372911509e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.368428187e-01,,,,,,,22,29,0,6.105263158e+00,1.526315789e+01,8.000000000e-01,3.368428187e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.337418054e-01,,,,,,,22,29,1,6.105263158e+00,1.526315789e+01,1.300000000e+00,3.337418054e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.349605599e-01,,,,,,,23,29,0,6.473684211e+00,1.526315789e+01,8.000000000e-01,3.349605599e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.252223872e-01,,,,,,,23,29,1,6.473684211e+00,1.526315789e+01,1.300000000e+00,3.252223872e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.285224184e-01,,,,,,,24,29,0,6.842105263e+00,1.526315789e+01,8.000000000e-01,3.285224184e-01,,
V3_AB_MID,offending,upper_a,a_forward,3.089505435e-01,,,,,,,24,29,1,6.842105263e+00,1.526315789e+01,1.300000000e+00,3.089505435e-01,,
